"Name","OnsetMs","TrimMs","OldKB","NewKB"
"A-1_v108_e0_rr1 DPA CFIII.wav","6.5","5","11750.2","11748.8"
"A-1_v108_e0_rr2 DPA CFIII.wav","5.5","4","12621.8","12620.6"
"A-1_v117_e0_rr1 DPA CFIII.wav","10.5","9","12289.7","12287.2"
"A-1_v117_e0_rr2 DPA CFIII.wav","2.5","1","12835.3","12835"
"A-1_v127_e0_rr1 DPA CFIII.wav","5.75","4.25","12779.1","12777.9"
"A-1_v127_e0_rr2 DPA CFIII.wav","5.75","4.25","13133.7","13132.5"
"A-1_v18_e0_rr1 DPA CFIII.wav","26.75","25.25","5404.1","5397"
"A-1_v18_e0_rr2 DPA CFIII.wav","10.75","9.25","5430.3","5427.7"
"A-1_v27_e0_rr1 DPA CFIII.wav","7.5","6","5912.2","5910.5"
"A-1_v27_e0_rr2 DPA CFIII.wav","7.5","6","5802.6","5800.9"
"A-1_v36_e0_rr1 DPA CFIII.wav","33","31.5","7326.4","7317.6"
"A-1_v36_e0_rr2 DPA CFIII.wav","8.75","7.25","7146.3","7144.2"
"A-1_v45_e0_rr1 DPA CFIII.wav","27.75","26.25","7842.9","7835.5"
"A-1_v45_e0_rr2 DPA CFIII.wav","19.5","18","7858.3","7853.3"
"A-1_v54_e0_rr1 DPA CFIII.wav","27.25","25.75","8961.9","8954.7"
"A-1_v54_e0_rr2 DPA CFIII.wav","21","19.5","8807.1","8801.6"
"A-1_v63_e0_rr1 DPA CFIII.wav","19.5","18","9234.3","9229.2"
"A-1_v63_e0_rr2 DPA CFIII.wav","31.25","29.75","9446.4","9438.1"
"A-1_v72_e0_rr1 DPA CFIII.wav","13","11.5","10926.2","10922.9"
"A-1_v72_e0_rr2 DPA CFIII.wav","9","7.5","10367.1","10365"
"A-1_v81_e0_rr1 DPA CFIII.wav","5","3.5","11118","11117"
"A-1_v81_e0_rr2 DPA CFIII.wav","8.75","7.25","10883.2","10881.2"
"A-1_v90_e0_rr1 DPA CFIII.wav","11.5","10","10990.4","10987.6"
"A-1_v90_e0_rr2 DPA CFIII.wav","12.5","11","11256.8","11253.7"
"A-1_v99_e0_rr1 DPA CFIII.wav","11.75","10.25","11470.5","11467.7"
"A-1_v99_e0_rr2 DPA CFIII.wav","6.5","5","11392.4","11391"
"A-1_v9_e0_rr1 DPA CFIII.wav","7.25","5.75","3394.5","3392.9"
"A-1_v9_e0_rr2 DPA CFIII.wav","7.25","5.75","2849.4","2847.8"
"A0_v108_e0_rr1 DPA CFIII.wav","8","6.5","12615","12613.2"
"A0_v108_e0_rr2 DPA CFIII.wav","9.25","7.75","14037.3","14035.1"
"A0_v117_e0_rr1 DPA CFIII.wav","1.75","0.25","14270.4","14270.4"
"A0_v117_e0_rr2 DPA CFIII.wav","1.75","0.25","14291.6","14291.6"
"A0_v127_e0_rr1 DPA CFIII.wav","0","0","14424.4","14424.4"
"A0_v127_e0_rr2 DPA CFIII.wav","0.25","0","14453","14453"
"A0_v27_e0_rr1 DPA CFIII.wav","8","6.5","7869.3","7867.5"
"A0_v27_e0_rr2 DPA CFIII.wav","8","6.5","7864.8","7863"
