Mic,Note,Vel,RR,PeakDb,RmsDb
Coincident,A-1,108,rr1,-8.46,-21.23
Coincident,A-1,108,rr2,-8.49,-21.22
Coincident,A-1,117,rr1,-6.22,-19.16
Coincident,A-1,117,rr2,-6.23,-19.17
Coincident,A-1,127,rr1,-5.65,-18.36
Coincident,A-1,127,rr2,-5.63,-18.35
Coincident,A-1,18,rr1,-35.38,-46.64
Coincident,A-1,18,rr2,-35.81,-47.07
Coincident,A-1,27,rr1,-33.72,-44.99
Coincident,A-1,27,rr2,-33.77,-45.06
Coincident,A-1,36,rr1,-30.1,-41.6
Coincident,A-1,36,rr2,-30.38,-41.91
Coincident,A-1,45,rr1,-26.27,-37.77
Coincident,A-1,45,rr2,-26.31,-37.8
Coincident,A-1,54,rr1,-23.02,-34.62
Coincident,A-1,54,rr2,-23.01,-34.62
Coincident,A-1,63,rr1,-20.36,-32.11
Coincident,A-1,63,rr2,-20.35,-32.11
Coincident,A-1,72,rr1,-17.37,-29.23
Coincident,A-1,72,rr2,-17.39,-29.26
Coincident,A-1,81,rr1,-14.38,-26.53
Coincident,A-1,81,rr2,-14.51,-26.63
Coincident,A-1,90,rr1,-12.6,-24.76
Coincident,A-1,90,rr2,-12.69,-24.84
Coincident,A-1,99,rr1,-10.92,-23.28
Coincident,A-1,99,rr2,-10.94,-23.29
Coincident,A-1,9,rr1,-43.31,-54.09
Coincident,A-1,9,rr2,-44.23,-55.1
Coincident,A0,108,rr1,-11.45,-23.21
Coincident,A0,108,rr2,-11.45,-23.22
Coincident,A0,117,rr1,-8.86,-20.91
Coincident,A0,117,rr2,-8.84,-20.91
Coincident,A0,127,rr1,-7.7,-20.1
Coincident,A0,127,rr2,-7.71,-20.1
Coincident,A0,27,rr1,-35.78,-45.69
Coincident,A0,27,rr2,-35.71,-45.66
Coincident,A0,36,rr1,-32.55,-43.16
Coincident,A0,36,rr2,-32.52,-43.14
Coincident,A0,45,rr1,-28.17,-39.59
Coincident,A0,45,rr2,-28.17,-39.6
Coincident,A0,54,rr1,-24.65,-36.52
Coincident,A0,54,rr2,-24.66,-36.54
Coincident,A0,63,rr1,-21.78,-33.74
Coincident,A0,63,rr2,-21.93,-33.88
Coincident,A0,72,rr1,-19.32,-31.14
Coincident,A0,72,rr2,-19.35,-31.16
Coincident,A0,81,rr1,-17.17,-28.57
Coincident,A0,81,rr2,-17.22,-28.61
Coincident,A0,90,rr1,-15.89,-27.08
Coincident,A0,90,rr2,-16.04,-27.28
Coincident,A0,99,rr1,-14.04,-25.46
Coincident,A0,99,rr2,-14.06,-25.48
Coincident,A0,9,rr1,-40.38,-49.86
Coincident,A0,9,rr2,-40.4,-49.85
Coincident,A1,108,rr1,-9.88,-19.93
Coincident,A1,108,rr2,-9.89,-19.93
Coincident,A1,117,rr1,-7.23,-17.47
Coincident,A1,117,rr2,-7.25,-17.47
Coincident,A1,127,rr1,-6.27,-16.65
Coincident,A1,127,rr2,-6.28,-16.65
Coincident,A1,18,rr1,-33.25,-42.99
Coincident,A1,18,rr2,-33.53,-43.33
Coincident,A1,27,rr1,-30.21,-40.0
Coincident,A1,27,rr2,-30.31,-40.09
Coincident,A1,36,rr1,-29.36,-38.97
Coincident,A1,36,rr2,-28.8,-38.41
Coincident,A1,45,rr1,-27.66,-37.22
Coincident,A1,45,rr2,-28.29,-37.92
Coincident,A1,54,rr1,-26.08,-35.65
Coincident,A1,54,rr2,-25.83,-35.37
Coincident,A1,63,rr1,-23.33,-32.79
Coincident,A1,63,rr2,-23.23,-32.69
Coincident,A1,72,rr1,-20.08,-29.69
Coincident,A1,72,rr2,-20.16,-29.78
Coincident,A1,81,rr1,-16.77,-26.52
Coincident,A1,81,rr2,-16.96,-26.69
