"Mic","Note","Vel","Name","PeakDb","T_m40ms","T_m30ms","T_m20ms","T_m12ms","TpeakMs"
"Close 1","A-1","108","A-1_v108_e0_rr1 DPA CFIII.wav","-9","0.146","0.25","1.604","9.875","22.98"
"Close 1","A-1","108","A-1_v108_e0_rr2 DPA CFIII.wav","-9","0.167","0.292","1.646","9.938","23.02"
"Close 1","A-1","117","A-1_v117_e0_rr1 DPA CFIII.wav","-7.2","0.312","0.354","1.708","4.146","23.06"
"Close 1","A-1","117","A-1_v117_e0_rr2 DPA CFIII.wav","-7.2","0.312","0.354","1.688","4.125","23.04"
"Close 1","A-1","127","A-1_v127_e0_rr1 DPA CFIII.wav","-5.9","0.083","0.375","1.646","4.104","23.04"
"Close 1","A-1","127","A-1_v127_e0_rr2 DPA CFIII.wav","-5.8","0.271","0.333","1.604","4.042","23"
"Close 1","A-1","18","A-1_v18_e0_rr1 DPA CFIII.wav","-33.7","0.396","2.521","6.875","8.271","15.48"
"Close 1","A-1","18","A-1_v18_e0_rr2 DPA CFIII.wav","-34.3","0.125","1.062","1.5","2.875","10.1"
"Close 1","A-1","27","A-1_v27_e0_rr1 DPA CFIII.wav","-32.3","0.167","1.104","1.521","2.917","10.08"
"Close 1","A-1","27","A-1_v27_e0_rr2 DPA CFIII.wav","-32.4","0.146","1.125","1.521","2.917","10.08"
"Close 1","A-1","36","A-1_v36_e0_rr1 DPA CFIII.wav","-28.8","0.125","0.292","13.021","13.562","21.38"
"Close 1","A-1","36","A-1_v36_e0_rr2 DPA CFIII.wav","-29.1","0.167","0.333","1.5","2.083","9.85"
"Close 1","A-1","45","A-1_v45_e0_rr1 DPA CFIII.wav","-25.2","0.083","0.292","7.979","8.458","16.29"
"Close 1","A-1","45","A-1_v45_e0_rr2 DPA CFIII.wav","-25.2","0.312","0.458","1.562","2.042","9.88"
"Close 1","A-1","54","A-1_v54_e0_rr1 DPA CFIII.wav","-22.1","0.104","0.438","7.479","7.688","15.73"
"Close 1","A-1","54","A-1_v54_e0_rr2 DPA CFIII.wav","-22.1","0.125","0.396","1.646","1.854","9.9"
"Close 1","A-1","63","A-1_v63_e0_rr1 DPA CFIII.wav","-19.4","0.271","0.354","1.542","1.708","9.79"
"Close 1","A-1","63","A-1_v63_e0_rr2 DPA CFIII.wav","-19.4","0.125","0.25","11.375","11.542","19.62"
"Close 1","A-1","72","A-1_v72_e0_rr1 DPA CFIII.wav","-16.4","0.125","0.375","1.542","12.333","20.44"
"Close 1","A-1","72","A-1_v72_e0_rr2 DPA CFIII.wav","-16.4","0.146","0.458","1.688","12.458","20.54"
"Close 1","A-1","81","A-1_v81_e0_rr1 DPA CFIII.wav","-13.8","0.167","0.375","1.583","12.417","20.52"
"Close 1","A-1","81","A-1_v81_e0_rr2 DPA CFIII.wav","-13.8","0.208","0.312","1.5","12.333","20.44"
"Close 1","A-1","90","A-1_v90_e0_rr1 DPA CFIII.wav","-11.9","0.125","0.312","1.688","12.562","20.67"
"Close 1","A-1","90","A-1_v90_e0_rr2 DPA CFIII.wav","-12","0.167","0.333","1.729","12.625","20.73"
"Close 1","A-1","99","A-1_v99_e0_rr1 DPA CFIII.wav","-10.8","0.292","0.375","1.729","14.396","22.5"
"Close 1","A-1","99","A-1_v99_e0_rr2 DPA CFIII.wav","-10.8","0.25","0.333","1.688","14.354","22.46"
"Close 1","A-1","9","A-1_v9_e0_rr1 DPA CFIII.wav","-41.7","0.083","0.208","1.646","3.104","10.48"
"Close 1","A-1","9","A-1_v9_e0_rr2 DPA CFIII.wav","-42.6","0.083","0.208","1.562","3.083","117.35"
"Close 1","A0","108","A0_v108_e0_rr1 DPA CFIII.wav","-8.6","0.229","0.333","1.625","9.646","15.52"
"Close 1","A0","108","A0_v108_e0_rr2 DPA CFIII.wav","-8.7","0.146","0.75","1.521","9.542","15.42"
"Close 1","A0","117","A0_v117_e0_rr1 DPA CFIII.wav","-6.2","0.104","0.188","1.521","8.708","14.27"
"Close 1","A0","117","A0_v117_e0_rr2 DPA CFIII.wav","-6.2","0.104","0.188","1.521","8.708","14.27"
"Close 1","A0","127","A0_v127_e0_rr1 DPA CFIII.wav","-5.5","0.083","0.208","0.292","8.583","14.15"
"Close 1","A0","127","A0_v127_e0_rr2 DPA CFIII.wav","-5.5","0.104","0.229","0.312","8.625","14.17"
"Close 1","A0","27","A0_v27_e0_rr1 DPA CFIII.wav","-30.5","0.146","0.312","1.5","2.292","8.08"
"Close 1","A0","27","A0_v27_e0_rr2 DPA CFIII.wav","-30.4","0.146","0.333","1.5","2.292","8.1"
"Close 1","A0","36","A0_v36_e0_rr1 DPA CFIII.wav","-27.5","0.167","0.396","1.521","2.438","8.21"
"Close 1","A0","36","A0_v36_e0_rr2 DPA CFIII.wav","-27.5","0.167","0.417","1.542","2.458","8.23"
"Close 1","A0","45","A0_v45_e0_rr1 DPA CFIII.wav","-23.8","0.146","0.271","1.5","1.938","7.62"
"Close 1","A0","45","A0_v45_e0_rr2 DPA CFIII.wav","-23.8","0.188","0.312","1.542","1.979","7.65"
"Close 1","A0","54","A0_v54_e0_rr1 DPA CFIII.wav","-20.7","0.312","0.438","1.5","2.979","8.62"
"Close 1","A0","54","A0_v54_e0_rr2 DPA CFIII.wav","-20.7","0.083","0.292","1.5","2.333","7.98"
"Close 1","A0","63","A0_v63_e0_rr1 DPA CFIII.wav","-18","0.083","0.396","1.604","2.479","8.1"
"Close 1","A0","63","A0_v63_e0_rr2 DPA CFIII.wav","-18.1","0.083","0.417","1.604","2.5","8.1"
"Close 1","A0","72","A0_v72_e0_rr1 DPA CFIII.wav","-15.6","0.125","0.208","1.562","5.792","11.38"
"Close 1","A0","72","A0_v72_e0_rr2 DPA CFIII.wav","-15.6","0.104","0.208","1.542","5.771","11.35"
"Close 1","A0","81","A0_v81_e0_rr1 DPA CFIII.wav","-13.3","0.146","0.208","1.562","5.833","11.4"
"Close 1","A0","81","A0_v81_e0_rr2 DPA CFIII.wav","-13.3","0.146","0.208","1.562","5.833","11.4"
"Close 1","A0","90","A0_v90_e0_rr1 DPA CFIII.wav","-11.9","0.167","0.229","1.688","6.292","11.83"
"Close 1","A0","90","A0_v90_e0_rr2 DPA CFIII.wav","-12","0.208","0.271","1.729","6.333","11.88"
"Close 1","A0","99","A0_v99_e0_rr1 DPA CFIII.wav","-10.4","0.062","0.167","1.521","5.792","11.67"
"Close 1","A0","99","A0_v99_e0_rr2 DPA CFIII.wav","-10.4","0.083","0.167","1.604","5.854","11.73"
"Close 1","A0","9","A0_v9_e0_rr1 DPA CFIII.wav","-34.4","0.083","0.229","1.625","2.292","44.54"
"Close 1","A0","9","A0_v9_e0_rr2 DPA CFIII.wav","-34.3","0.083","0.25","1.542","2.167","44.44"
"Close 1","A1","108","A1_v108_e0_rr1 DPA CFIII.wav","-8.3","0.229","1.375","1.542","7.646","56.21"
"Close 1","A1","108","A1_v108_e0_rr2 DPA CFIII.wav","-8.3","0.208","1.396","1.562","7.667","56.23"
"Close 1","A1","117","A1_v117_e0_rr1 DPA CFIII.wav","-5.4","0.729","1.458","1.604","7.729","56.27"
"Close 1","A1","117","A1_v117_e0_rr2 DPA CFIII.wav","-5.4","0.708","1.458","1.604","7.729","56.25"
"Close 1","A1","127","A1_v127_e0_rr1 DPA CFIII.wav","-4.4","0.458","1.458","1.604","7.667","56.25"
"Close 1","A1","127","A1_v127_e0_rr2 DPA CFIII.wav","-4.4","0.417","1.458","1.604","7.667","56.25"
"Close 1","A1","18","A1_v18_e0_rr1 DPA CFIII.wav","-31.5","0.188","0.708","1.583","1.833","112.81"
"Close 1","A1","18","A1_v18_e0_rr2 DPA CFIII.wav","-31.8","0.146","0.875","1.583","1.854","112.83"
"Close 1","A1","27","A1_v27_e0_rr1 DPA CFIII.wav","-28.5","0.292","0.708","1.604","1.854","112.83"
"Close 1","A1","27","A1_v27_e0_rr2 DPA CFIII.wav","-28.6","0.271","0.729","1.583","1.833","112.81"
"Close 1","A1","36","A1_v36_e0_rr1 DPA CFIII.wav","-27.7","0.5","0.625","1.604","1.854","121.9"
"Close 1","A1","36","A1_v36_e0_rr2 DPA CFIII.wav","-27.1","0.208","0.333","1.708","2.604","113.58"
"Close 1","A1","45","A1_v45_e0_rr1 DPA CFIII.wav","-25.9","0.229","0.354","1.625","2.604","113.58"
"Close 1","A1","45","A1_v45_e0_rr2 DPA CFIII.wav","-26.7","0.25","0.354","1.625","2.604","113.6"
"Close 1","A1","54","A1_v54_e0_rr1 DPA CFIII.wav","-24.2","0.229","0.333","1.562","2.604","113.58"
"Close 1","A1","54","A1_v54_e0_rr2 DPA CFIII.wav","-24","0.229","0.333","1.562","2.604","113.58"
"Close 1","A1","63","A1_v63_e0_rr1 DPA CFIII.wav","-21.4","0.229","0.354","1.625","2.562","113.58"
"Close 1","A1","63","A1_v63_e0_rr2 DPA CFIII.wav","-21.3","0.167","0.375","1.604","2.562","113.56"
"Close 1","A1","72","A1_v72_e0_rr1 DPA CFIII.wav","-18.3","0.104","0.521","1.688","2.729","104.67"
"Close 1","A1","72","A1_v72_e0_rr2 DPA CFIII.wav","-18.3","0.104","0.521","1.708","2.75","104.69"
