"Mic","Note","Vel","Name","PeakDb","T_m40ms","T_m30ms","T_m20ms","T_m12ms","TpeakMs"
"Close 1","A-1","108","A-1_v108_e0_rr1 DPA CFIII.wav","-8.4","0.854","1.083","6.604","14.875","27.98"
"Close 1","A-1","117","A-1_v117_e0_rr1 DPA CFIII.wav","-6.5","0.333","5.104","10.708","13.146","32.06"
"Close 1","A-1","127","A-1_v127_e0_rr1 DPA CFIII.wav","-5.2","0.083","0.375","5.896","8.354","27.29"
"Close 1","A-1","18","A-1_v18_e0_rr1 DPA CFIII.wav","-33.1","0","2.125","26.875","28.271","35.48"
"Close 1","A-1","27","A-1_v27_e0_rr1 DPA CFIII.wav","-31.7","0.229","2.354","7.521","8.917","16.08"
"Close 1","A-1","36","A-1_v36_e0_rr1 DPA CFIII.wav","-28.2","5.646","12.771","33.021","33.562","41.38"
"Close 1","A-1","45","A-1_v45_e0_rr1 DPA CFIII.wav","-24.6","0","15.167","27.979","28.458","36.29"
"Close 1","A-1","54","A-1_v54_e0_rr1 DPA CFIII.wav","-21.4","1.979","14.771","27.479","27.688","35.73"
"Close 1","A-1","63","A-1_v63_e0_rr1 DPA CFIII.wav","-18.8","0.5","5.625","19.542","19.708","27.79"
"Close 1","A-1","72","A-1_v72_e0_rr1 DPA CFIII.wav","-15.7","1.854","10","13.042","23.833","31.94"
"Close 1","A-1","81","A-1_v81_e0_rr1 DPA CFIII.wav","-13.1","0.188","1.354","5.083","15.917","24.02"
"Close 1","A-1","90","A-1_v90_e0_rr1 DPA CFIII.wav","-11.3","3.583","8.521","11.688","22.562","30.67"
"Close 1","A-1","99","A-1_v99_e0_rr1 DPA CFIII.wav","-10.1","5.75","6.771","11.979","24.646","32.75"
"Close 1","A-1","9","A-1_v9_e0_rr1 DPA CFIII.wav","-41","0","2.979","7.396","8.854","16.23"
"Close 1","A0","108","A0_v108_e0_rr1 DPA CFIII.wav","-9.3","2.458","4.354","8.125","16.146","22.02"
"Close 1","A0","117","A0_v117_e0_rr1 DPA CFIII.wav","-6.8","0","0.354","1.771","8.958","14.52"
"Close 1","A0","127","A0_v127_e0_rr1 DPA CFIII.wav","-6.2","0","0","0.229","8.583","14.15"
"Close 1","A0","27","A0_v27_e0_rr1 DPA CFIII.wav","-31.1","0.333","1.917","8","8.792","14.58"
"Close 1","A0","36","A0_v36_e0_rr1 DPA CFIII.wav","-28.2","2.646","5.354","14.021","14.938","20.71"
