"Note","Vel","RR","PeakDb","RmsDb"
"A-1","108","rr1","-8.41","-21.12"
"A-1","108","rr2","-8.39","-21.11"
"A-1","117","rr1","-6.55","-19.04"
"A-1","117","rr2","-6.56","-18.98"
"A-1","127","rr1","-5.22","-18.13"
"A-1","127","rr2","-5.2","-18.12"
"A-1","18","rr1","-33.11","-43.39"
"A-1","18","rr2","-33.71","-43.61"
"A-1","27","rr1","-31.66","-41.97"
"A-1","27","rr2","-31.74","-42.02"
"A-1","36","rr1","-28.17","-39.36"
"A-1","36","rr2","-28.45","-39.38"
"A-1","45","rr1","-24.6","-36"
"A-1","45","rr2","-24.61","-35.92"
"A-1","54","rr1","-21.44","-33.23"
"A-1","54","rr2","-21.44","-33.14"
"A-1","63","rr1","-18.76","-30.86"
"A-1","63","rr2","-18.74","-31.03"
"A-1","72","rr1","-15.74","-28.37"
"A-1","72","rr2","-15.78","-28.35"
"A-1","81","rr1","-13.12","-25.92"
"A-1","81","rr2","-13.21","-26.02"
"A-1","90","rr1","-11.28","-24.4"
"A-1","90","rr2","-11.34","-24.49"
"A-1","99","rr1","-10.14","-23.11"
"A-1","99","rr2","-10.13","-23.06"
"A-1","9","rr1","-41.03","-49.74"
"A-1","9","rr2","-41.99","-50.59"
"A0","108","rr1","-9.28","-21.21"
"A0","108","rr2","-9.31","-21.23"
"A0","117","rr1","-6.85","-18.93"
"A0","117","rr2","-6.88","-18.93"
"A0","127","rr1","-6.19","-18.14"
"A0","127","rr2","-6.17","-18.14"
"A0","27","rr1","-31.14","-41.68"
"A0","27","rr2","-31.08","-41.66"
"A0","36","rr1","-28.18","-39.51"
"A0","36","rr2","-28.19","-39.49"
"A0","45","rr1","-24.43","-36.34"
"A0","45","rr2","-24.44","-36.34"
"A0","54","rr1","-21.37","-33.57"
"A0","54","rr2","-21.37","-33.58"
"A0","63","rr1","-18.67","-31.07"
"A0","63","rr2","-18.79","-31.16"
"A0","72","rr1","-16.29","-28.63"
"A0","72","rr2","-16.29","-28.64"
"A0","81","rr1","-13.96","-26.23"
"A0","81","rr2","-13.99","-26.26"
"A0","90","rr1","-12.5","-24.88"
"A0","90","rr2","-12.69","-25.08"
"A0","99","rr1","-11.04","-23.28"
"A0","99","rr2","-11.04","-23.29"
"A0","9","rr1","-35","-45.38"
"A0","9","rr2","-34.98","-45.32"
"A1","108","rr1","-9.66","-20.14"
"A1","108","rr2","-9.66","-20.14"
"A1","117","rr1","-6.79","-17.6"
"A1","117","rr2","-6.82","-17.6"
"A1","127","rr1","-5.82","-16.77"
"A1","127","rr2","-5.83","-16.76"
"A1","18","rr1","-32.89","-42.73"
"A1","18","rr2","-33.23","-43.09"
"A1","27","rr1","-29.92","-40"
"A1","27","rr2","-30.03","-40.07"
"A1","36","rr1","-29.1","-39.1"
"A1","36","rr2","-28.51","-38.6"
"A1","45","rr1","-27.3","-37.43"
"A1","45","rr2","-28.03","-38.14"
"A1","54","rr1","-25.57","-35.96"
"A1","54","rr2","-25.39","-35.68"
"A1","63","rr1","-22.83","-33.05"
"A1","63","rr2","-22.71","-32.92"
"A1","72","rr1","-19.64","-29.9"
"A1","72","rr2","-19.72","-30"
"A1","81","rr1","-16.46","-26.79"
"A1","81","rr2","-16.66","-26.99"
"A1","90","rr1","-13.84","-24.23"
"A1","90","rr2","-13.96","-24.34"
"A1","99","rr1","-12.2","-22.59"
"A1","99","rr2","-12.21","-22.59"
"A1","9","rr1","-38.84","-48.54"
"A1","9","rr2","-38.72","-48.51"
"A2","108","rr1","-7.6","-20.38"
"A2","108","rr2","-7.62","-20.39"
"A2","117","rr1","-4.48","-17.91"
"A2","117","rr2","-4.5","-17.95"
"A2","127","rr1","-3.66","-17.23"
"A2","127","rr2","-3.6","-17.22"
"A2","18","rr1","-34.22","-45.6"
"A2","18","rr2","-34.2","-45.55"
"A2","27","rr1","-30.42","-41.77"
"A2","27","rr2","-30.42","-41.71"
"A2","36","rr1","-29.58","-40.79"
"A2","36","rr2","-29.58","-40.81"
"A2","45","rr1","-27.83","-39.31"
"A2","45","rr2","-27.76","-39.25"
"A2","54","rr1","-25.32","-36.96"
"A2","54","rr2","-25.08","-36.72"
"A2","63","rr1","-21.99","-33.68"
"A2","63","rr2","-21.95","-33.62"
"A2","72","rr1","-18.23","-30.19"
"A2","72","rr2","-18.27","-30.22"
"A2","81","rr1","-14.59","-26.86"
"A2","81","rr2","-14.61","-26.88"
"A2","90","rr1","-12.32","-24.74"
"A2","90","rr2","-12.39","-24.79"
"A2","99","rr1","-10.22","-22.81"
"A2","99","rr2","-10.23","-22.82"
"A2","9","rr1","-42.38","-53.74"
"A2","9","rr2","-42.19","-53.54"
"A3","108","rr1","-8.74","-17.52"
"A3","108","rr2","-8.75","-17.52"
"A3","117","rr1","-6.14","-15.14"
"A3","117","rr2","-6.16","-15.13"
"A3","127","rr1","-4.93","-14.38"
"A3","127","rr2","-4.96","-14.39"
"A3","18","rr1","-34.96","-42.52"
"A3","18","rr2","-35.01","-42.6"
"A3","27","rr1","-30.62","-38.17"
"A3","27","rr2","-30.5","-38.05"
"A3","36","rr1","-29.39","-36.99"
"A3","36","rr2","-29.23","-36.82"
"A3","45","rr1","-28.06","-35.73"
"A3","45","rr2","-28.05","-35.73"
"A3","54","rr1","-25.82","-33.49"
"A3","54","rr2","-25.76","-33.42"
"A3","63","rr1","-22.51","-30.5"
"A3","63","rr2","-22.49","-30.46"
"A3","72","rr1","-19.17","-27.18"
"A3","72","rr2","-19.14","-27.15"
"A3","81","rr1","-16","-24.16"
"A3","81","rr2","-15.87","-24.04"
"A3","90","rr1","-13.51","-21.77"
"A3","90","rr2","-13.51","-21.76"
"A3","99","rr1","-11.57","-19.98"
"A3","99","rr2","-11.56","-19.98"
"A3","9","rr1","-44.76","-52.59"
"A3","9","rr2","-44.5","-52.29"
"A4","108","rr1","-6.95","-20.37"
"A4","108","rr2","-6.97","-20.37"
"A4","117","rr1","-4.24","-17.68"
"A4","117","rr2","-4.26","-17.69"
"A4","127","rr1","-3.42","-16.64"
"A4","127","rr2","-3.45","-16.66"
"A4","18","rr1","-46.64","-58.53"
"A4","18","rr2","-46.23","-58.07"
"A4","27","rr1","-36.21","-47.39"
"A4","27","rr2","-35.61","-46.83"
"A4","36","rr1","-32.2","-43.3"
"A4","36","rr2","-32.09","-43.19"
"A4","54","rr1","-29.1","-40.07"
"A4","54","rr2","-30.26","-41.2"
"A4","63","rr1","-25.55","-36.8"
"A4","63","rr2","-25.05","-36.37"
"A4","72","rr1","-21.19","-32.68"
"A4","72","rr2","-21.27","-32.76"
"A4","81","rr1","-16.92","-28.89"
"A4","81","rr2","-16.85","-28.81"
"A4","90","rr1","-12.11","-24.69"
"A4","90","rr2","-12.15","-24.72"
"A4","99","rr1","-10.01","-22.84"
"A4","99","rr2","-10.02","-22.84"
"A4","9","rr1","-54.72","-67.36"
"A4","9","rr2","-55.92","-68.11"
"A5","108","rr1","-12.2","-29.19"
"A5","108","rr2","-12.13","-29.19"
"A5","117","rr1","-8.67","-26.55"
"A5","117","rr2","-8.6","-26.54"
"A5","127","rr1","-6.88","-25.76"
"A5","127","rr2","-6.82","-25.77"
"A5","18","rr1","-61.1","-74.79"
"A5","18","rr2","-61.01","-74.56"
"A5","27","rr1","-51.21","-67.2"
"A5","27","rr2","-48.42","-65.01"
"A5","36","rr1","-43.67","-60.16"
"A5","36","rr2","-43.76","-60.11"
"A5","54","rr1","-40.4","-56.44"
"A5","54","rr2","-38.74","-54.91"
"A5","63","rr1","-34.03","-50.14"
"A5","63","rr2","-34.03","-50.13"
"A5","72","rr1","-28.21","-44.56"
"A5","72","rr2","-28.05","-44.59"
"A5","81","rr1","-22.27","-39.28"
"A5","81","rr2","-22.23","-39.28"
"A5","90","rr1","-16.49","-33.77"
"A5","90","rr2","-16.63","-33.9"
"A5","99","rr1","-14.95","-31.97"
"A5","99","rr2","-14.97","-31.97"
"A5","9","rr1","-63.28","-76.07"
"A5","9","rr2","-64.69","-76.3"
"A6","108","rr1","-13.96","-33.56"
"A6","108","rr2","-13.99","-33.52"
"A6","117","rr1","-11.47","-30.45"
"A6","117","rr2","-11.41","-30.27"
"A6","127","rr1","-9.75","-29.37"
"A6","127","rr2","-9.75","-29.27"
"A6","18","rr1","-56.6","-68.68"
"A6","18","rr2","-56.91","-68.4"
"A6","27","rr1","-49.31","-63.44"
"A6","27","rr2","-49.39","-63.18"
"A6","45","rr1","-41.85","-58.62"
"A6","45","rr2","-41.73","-58.56"
