"Mic","Note","Vel","RR","PeakDb","RmsDb"
"Close 1","A-1","108","rr1","-9.04","-21.72"
"Close 1","A-1","108","rr2","-9.02","-21.71"
"Close 1","A-1","117","rr1","-7.18","-19.59"
"Close 1","A-1","117","rr2","-7.19","-19.6"
"Close 1","A-1","127","rr1","-5.85","-18.73"
"Close 1","A-1","127","rr2","-5.83","-18.72"
"Close 1","A-1","18","rr1","-33.74","-43.85"
"Close 1","A-1","18","rr2","-34.34","-44.12"
"Close 1","A-1","27","rr1","-32.29","-42.5"
"Close 1","A-1","27","rr2","-32.37","-42.55"
"Close 1","A-1","36","rr1","-28.8","-39.76"
"Close 1","A-1","36","rr2","-29.08","-39.9"
"Close 1","A-1","45","rr1","-25.23","-36.46"
"Close 1","A-1","45","rr2","-25.24","-36.38"
"Close 1","A-1","54","rr1","-22.07","-33.69"
"Close 1","A-1","54","rr2","-22.07","-33.58"
"Close 1","A-1","63","rr1","-19.39","-31.31"
"Close 1","A-1","63","rr2","-19.37","-31.46"
"Close 1","A-1","72","rr1","-16.37","-28.92"
"Close 1","A-1","72","rr2","-16.41","-28.95"
"Close 1","A-1","81","rr1","-13.75","-26.54"
"Close 1","A-1","81","rr2","-13.84","-26.62"
"Close 1","A-1","90","rr1","-11.91","-24.96"
"Close 1","A-1","90","rr2","-11.97","-25.03"
"Close 1","A-1","99","rr1","-10.77","-23.66"
"Close 1","A-1","99","rr2","-10.76","-23.67"
"Close 1","A-1","9","rr1","-41.66","-50.28"
"Close 1","A-1","9","rr2","-42.62","-51.13"
"Close 1","A0","108","rr1","-8.64","-20.53"
"Close 1","A0","108","rr2","-8.67","-20.54"
"Close 1","A0","117","rr1","-6.21","-18.29"
"Close 1","A0","117","rr2","-6.24","-18.29"
"Close 1","A0","127","rr1","-5.55","-17.5"
"Close 1","A0","127","rr2","-5.53","-17.5"
"Close 1","A0","27","rr1","-30.5","-40.89"
"Close 1","A0","27","rr2","-30.44","-40.87"
"Close 1","A0","36","rr1","-27.54","-38.7"
"Close 1","A0","36","rr2","-27.55","-38.69"
"Close 1","A0","45","rr1","-23.79","-35.53"
"Close 1","A0","45","rr2","-23.8","-35.53"
"Close 1","A0","54","rr1","-20.73","-32.8"
"Close 1","A0","54","rr2","-20.73","-32.8"
"Close 1","A0","63","rr1","-18.03","-30.27"
"Close 1","A0","63","rr2","-18.15","-30.37"
"Close 1","A0","72","rr1","-15.65","-27.95"
"Close 1","A0","72","rr2","-15.65","-27.96"
"Close 1","A0","81","rr1","-13.32","-25.57"
"Close 1","A0","81","rr2","-13.35","-25.6"
"Close 1","A0","90","rr1","-11.86","-24.19"
"Close 1","A0","90","rr2","-12.05","-24.38"
"Close 1","A0","99","rr1","-10.4","-22.59"
"Close 1","A0","99","rr2","-10.4","-22.61"
"Close 1","A0","9","rr1","-34.36","-44.54"
"Close 1","A0","9","rr2","-34.34","-44.52"
"Close 1","A1","108","rr1","-8.28","-18.76"
"Close 1","A1","108","rr2","-8.28","-18.76"
"Close 1","A1","117","rr1","-5.41","-16.22"
"Close 1","A1","117","rr2","-5.44","-16.22"
"Close 1","A1","127","rr1","-4.44","-15.39"
"Close 1","A1","127","rr2","-4.45","-15.38"
"Close 1","A1","18","rr1","-31.51","-41.27"
"Close 1","A1","18","rr2","-31.85","-41.63"
"Close 1","A1","27","rr1","-28.54","-38.54"
"Close 1","A1","27","rr2","-28.65","-38.61"
"Close 1","A1","36","rr1","-27.72","-37.64"
"Close 1","A1","36","rr2","-27.13","-37.14"
"Close 1","A1","45","rr1","-25.92","-35.98"
"Close 1","A1","45","rr2","-26.65","-36.68"
"Close 1","A1","54","rr1","-24.19","-34.51"
"Close 1","A1","54","rr2","-24.01","-34.22"
"Close 1","A1","63","rr1","-21.45","-31.6"
"Close 1","A1","63","rr2","-21.33","-31.46"
"Close 1","A1","72","rr1","-18.26","-28.45"
"Close 1","A1","72","rr2","-18.34","-28.55"
"Close 1","A1","81","rr1","-15.08","-25.34"
"Close 1","A1","81","rr2","-15.28","-25.53"
"Close 1","A1","90","rr1","-12.46","-22.79"
"Close 1","A1","90","rr2","-12.58","-22.9"
"Close 1","A1","99","rr1","-10.82","-21.15"
"Close 1","A1","99","rr2","-10.83","-21.15"
"Close 1","A1","9","rr1","-37.46","-47.1"
"Close 1","A1","9","rr2","-37.34","-47.06"
"Close 1","A2","108","rr1","-6.87","-19.58"
"Close 1","A2","108","rr2","-6.89","-19.59"
"Close 1","A2","117","rr1","-3.75","-17.11"
"Close 1","A2","117","rr2","-3.77","-17.15"
"Close 1","A2","127","rr1","-2.93","-16.43"
"Close 1","A2","127","rr2","-2.87","-16.42"
"Close 1","A2","18","rr1","-33.49","-44.79"
"Close 1","A2","18","rr2","-33.47","-44.75"
"Close 1","A2","27","rr1","-29.69","-40.96"
"Close 1","A2","27","rr2","-29.69","-40.91"
"Close 1","A2","36","rr1","-28.85","-39.98"
"Close 1","A2","36","rr2","-28.85","-40"
"Close 1","A2","45","rr1","-27.1","-38.51"
"Close 1","A2","45","rr2","-27.03","-38.44"
"Close 1","A2","54","rr1","-24.59","-36.15"
"Close 1","A2","54","rr2","-24.35","-35.92"
"Close 1","A2","63","rr1","-21.26","-32.87"
"Close 1","A2","63","rr2","-21.22","-32.82"
"Close 1","A2","72","rr1","-17.5","-29.39"
"Close 1","A2","72","rr2","-17.54","-29.41"
"Close 1","A2","81","rr1","-13.86","-26.06"
"Close 1","A2","81","rr2","-13.88","-26.07"
"Close 1","A2","90","rr1","-11.59","-23.94"
"Close 1","A2","90","rr2","-11.66","-23.98"
"Close 1","A2","99","rr1","-9.49","-22.01"
"Close 1","A2","99","rr2","-9.5","-22.02"
"Close 1","A2","9","rr1","-41.65","-52.94"
"Close 1","A2","9","rr2","-41.46","-52.74"
"Close 1","A3","108","rr1","-8.92","-17.64"
"Close 1","A3","108","rr2","-8.93","-17.65"
"Close 1","A3","117","rr1","-6.32","-15.26"
"Close 1","A3","117","rr2","-6.34","-15.26"
"Close 1","A3","127","rr1","-5.11","-14.51"
