Note,GainDb
A-1,-0.63
A#-1,1.25
B-1,-0.42
C0,-1.52
C#0,1.08
D0,-0.2
D#0,0.93
E0,0.21
F0,-1.06
F#0,-0.06
G0,-0.37
G#0,0.09
A0,0.64
A#0,-0.86
B0,0.09
C1,-0.11
C#1,0.44
D1,0.09
D#1,-0.81
E1,0.04
F1,1.37
F#1,-0.39
G1,-1.46
G#1,2.27
A1,1.38
A#1,-1.59
B1,-0.26
C2,-0.69
C#2,0.19
D2,-1.78
D#2,0.46
E2,1.02
F2,-1.3
F#2,0.29
G2,0.2
G#2,-0.68
A2,0.73
A#2,2.52
B2,-0.95
C3,-0.11
C#3,0.09
D3,2.28
D#3,-3.51
E3,-0.13
F3,4.2
F#3,-3.55
G3,-1.04
A3,-0.18
A#3,2.26
B3,-2.33
C4,1.67
C#4,1.61
D4,-2.97
D#4,-0.65
E4,1.2
F4,0.5
F#4,0.35
G4,0.03
G#4,0.23
A4,-0.73
A#4,-1.47
B4,1.15
C5,-0.97
C#5,2.14
D5,-1.32
D#5,-1.88
F5,5.7
G5,-2.47
G#5,-2.4
A5,3.91
A#5,-1.12
B5,1.0
C6,-1.86
C#6,0.87
D6,1.75
D#6,-1.11
E6,-3.16
F6,3.33
F#6,0.03
G6,-2.96
G#6,-0.0
A6,0.29
A#6,0.59
B6,1.35
C7,-0.68
