Note,GainDb
A-1,-1.01
A#-1,0.41
B-1,-0.52
C0,-0.59
C#0,1.66
D0,0.35
D#0,-0.13
E0,0.54
F0,-0.36
F#0,-0.17
G0,-0.54
G#0,0.12
A0,0.53
A#0,-1.66
B0,1.43
C1,-0.11
C#1,-0.16
D1,0.96
D#1,-1.6
E1,-1.11
F1,0.75
F#1,0.06
G1,1.0
G#1,-1.06
A1,-0.3
A#1,-1.42
B1,0.7
C2,0.72
C#2,-0.41
D2,-0.26
D#2,-1.33
E2,3.12
F2,-0.26
F#2,-1.83
G2,-0.02
G#2,0.43
A2,2.04
A#2,0.61
B2,-0.19
C3,-1.07
C#3,-2.62
D3,1.15
D#3,-0.29
E3,0.45
F3,0.49
F#3,-3.68
G3,-3.22
A3,3.04
A#3,-0.34
B3,-0.94
C4,5.12
C#4,-4.1
D4,-4.0
D#4,-0.17
E4,1.15
F4,-1.39
F#4,-0.51
G4,2.26
G#4,-1.05
A4,-3.42
A#4,0.18
B4,0.63
C5,0.93
C#5,-4.68
D5,-1.49
D#5,2.09
F5,0.6
G5,-1.42
G#5,-0.24
A5,1.62
A#5,0.03
B5,0.84
C6,0.22
C#6,1.21
D6,-2.84
D#6,0.55
E6,-2.04
F6,0.58
F#6,-0.36
G6,-0.02
G#6,0.43
A6,-0.85
A#6,0.87
B6,2.04
C7,-1.46
